104928732,gjfj33fx,1995,3.86
109682945,cpikcswd,1991,1.09
123456789,kaslam22,1998,3.35
138620433,9qdpk2z8,2016,2.36
146860310,gqiaxcd9,1996,2.39
152886220,ha2xi4ls,1999,2.87
162284016,ba8rodjd,2005,1.97
166516200,c1p37sz8,2017,1.19
167001026,sqjeggfo,1990,2.53
178388421,g8v5ztdz,1995,1.99
183071611,amuznn68,2017,1.52
189823899,78e7aj7k,1990,1.46
201559724,qgn4znyh,2020,2.55
213708679,m58rv1n9,2007,2.35
214798196,l5nb1kdl,1990,3.64
221977290,p7sz6axu,2015,2.61
258316437,b93y5i9n,1998,1.91
263449632,dpoiikbc,1999,2.78
280904294,5tn9eko6,2010,2.84
283807184,i8eapyj8,1990,3.5
292311985,j86mp7kb,1997,3.02
297402594,enlpmf8w,1992,2.38
302400142,99wcrf3t,2008,3.06
308461393,wct39f2g,2000,3.8
309720670,5sc5hmqa,2002,2.75
316537830,ynpctdyb,1999,3.52
320229807,6sd2owyv,1993,1.36
329935406,be2iianw,1992,1.4
348869891,6po5sd1q,2006,3.81
350130768,wfgzzltt,1998,3.95
356120748,hdajgq9l,1996,2.98
394434651,o7y6pwa2,2019,2.23
404712334,xa3gbbgv,2007,3.6
405733679,67m7f8oq,2020,3.88
407850838,nexkz5ll,1995,2.46
423365974,t5o2scfn,2015,2.34
442578356,fpswygj6,2016,2.83
447127330,m7cdpeb6,2014,3.77
448206006,srlv6wak,2017,2.1
457193938,lg84zf53,2022,3.74
458043336,28f2vkco,2019,1.98
472925034,xkjd3fq1,2008,2.89
486763914,9qxftp5g,2009,3.21
502008121,7blzg6mg,2018,2.06
507310998,1wu4hker,2011,2.69
510331748,grlcnmln,2015,3.68
513968941,r8pgkuev,1990,3.79
518888711,zpkb8ahc,2008,3.54
519681765,7eo8hc4v,2018,3.07
527880888,amnfurzy,2022,1.55
533371461,qe7oqw7t,2017,3.04
546403727,36ztn1bj,2021,2.46
569685285,a946exb4,2020,2.16
577490258,j877hznc,2003,3.91
578836605,z9pgf7jl,2000,3.19
579396577,nkcjfnae,2022,1.76
582533835,fx5aq8sc,2009,3.32
590548619,5uhvx2f6,2009,2.79
590591253,t967v48z,1991,1.61
600453509,l4yim6bk,1998,3.05
602159699,tybwvj7s,2005,2.34
614843187,9laht5w9,2017,2.27
618760127,2pq26pqg,2021,1.21
636830597,pkqesewz,2014,1.51
641813943,6eqeej8y,1997,2.49
684580408,p8k8dyg7,2000,2.09
686478821,4iyz1gg1,2018,1.18
697783785,1b6h74an,2017,1.79
708312123,45e4zkz8,2014,1.76
718016287,qoawv9sy,2005,3.15
726522254,xculjwr5,1990,1.84
726781287,2a5al8lm,2009,3
741685307,kqzx5mew,2019,1.81
755177314,p6gthp63,2000,2.74
781695093,8nitxx7k,2008,3.07
784804244,7j1fah15,2010,3.5
798678500,ge9c9pkf,2009,2.23
811422907,s745sjp1,2011,1.06
819072442,k2pxel9a,1994,1.5
820973413,bvedngfy,2018,1.67
829076914,1i1771wt,2009,1.15
842376472,ngup17zp,2017,1.86
852225752,5ovy4ikb,2004,2.68
854004867,bn5qdyea,2003,1.13
870582428,mgvqrwfa,2002,3.9
872358665,djspjeke,2012,2.05
905659212,ufyexu1b,1995,1.78
906795197,lbpddyh8,1990,1.44
908545990,o176c3ob,2013,3.8
912235627,iszwkcjf,2021,2.42
918760567,pxvvhujc,2004,2.9
928689030,mav19rji,2014,2.83
931402555,ks8abc2p,2010,1.92
935379019,eud75575,2007,2.54
938852859,v34ezouf,2016,3.61
947447565,drtdkm2l,2002,3.11
967167859,xcjhwt6u,2012,3.51
975235096,wnyeri2f,2018,1.16
979746898,w5tcn57c,1990,2.42
987622588,zeg547jb,2004,2.41
